"╧.TT" "медекъ" "йнк-бн"
"1" 39 43103 101430.044359039
"2" 39 43108 119036.171775544
"3" 39 43116 103341.007057908
"4" 39 43122 96404.2581130626
"5" 39 43134 104460.302832521
"6" 39 43140 96112.5489318951
"7" 39 43147 80056.8170359991
"8" 39 43153 123724.577302582
"9" 39 43160 65949.4706938693
"10" 39 43164 101941.630641553
"11" 39 43174 94241.6139374581
"12" 39 43179 74738.2572433164
"13" 39 43188 86062.7985660022
"14" 39 43194 90578.1807406103
"15" 39 43204 139247.19437939
"16" 39 43212 85022.4836201965
"17" 39 43215 72822.4640882287
"18" 39 43224 130266.769613532
"19" 39 43227 79509.5316541452
"20" 39 43236 82809.9258568655
"21" 39 43247 109682.746067643
"22" 39 43254 79879.129960921
"23" 39 43257 112874.323215701
"24" 39 43262 112995.562190151
"25" 39 43271 134787.302960284
"26" 39 43279 112136.729452489
"27" 39 43288 97564.2436065671
"28" 39 43296 63340.1367688899
"29" 39 43297 108713.020453242
"30" 39 43307 118062.425193536
"31" 39 43317 102340.856861538
"32" 39 43318 76045.9593306812
"33" 39 43328 89393.0181764125
"34" 39 43332 112862.347961716
"35" 39 43342 100251.487779651
"36" 39 43348 69218.1213759993
"37" 39 43353 80101.9513041726
"38" 39 43366 114943.151003604
"39" 39 43373 120902.947624121
"40" 39 43379 52308.0251863101
"41" 39 43386 113679.429946904
"42" 39 43394 99117.7694371928
"43" 39 43401 71224.0988175235
"44" 39 43404 105642.883144025
"45" 39 43413 91213.5764763063
"46" 39 43422 113046.259247532
"47" 39 43428 80953.6414158584
"48" 39 43436 106791.421403686
"49" 39 43442 79674.6951798865
"50" 39 43447 112938.529829114
"51" 39 43454 111357.853296226
"52" 39 43458 88305.20852383
"53" 39 43465 85350.5585182739
"54" 39 43477 101421.157490245
"55" 39 43480 126510.265577896
"56" 39 43487 105029.394817705
"57" 39 43493 79832.5540361272
"58" 39 43502 107377.562981376
"59" 39 43512 84226.9550218778
"60" 39 43520 98854.7346797339
"61" 39 43526 117315.473066836
"62" 39 43533 123717.46054463
"63" 39 43539 94179.8356040385
"64" 39 43548 85980.3528805223
"65" 39 43555 119056.931626312
"66" 39 43557 103041.666002111
"67" 39 43563 59367.1791139025
"68" 39 43572 101248.958503129
"69" 39 43583 133872.774712335
"70" 39 43584 71732.8581514012
"71" 39 43593 88206.8362030437
"72" 39 43603 106945.133144794
"73" 39 43607 109971.336134284
"74" 39 43616 74353.2551164669
"75" 39 43619 70478.1298518052
"76" 39 43626 53156.592662973
"77" 39 43637 111380.586805654
"78" 39 43641 83537.1526503931
"79" 39 43653 87620.2022780564
"80" 39 43654 131327.175815237
"81" 39 43665 118435.041267189
"82" 39 43668 107682.943873884
"83" 39 43676 148772.609754425
"84" 39 43682 104217.803494423
"85" 39 43690 139983.706901574
"86" 39 43701 71901.9613139896
"87" 39 43704 108598.361520329
"88" 39 43712 67137.8377519627
"89" 39 43719 91153.9943943377
"90" 39 43725 111409.337126289
"91" 39 43737 106881.915126353
"92" 39 43742 85559.3376878264
"93" 39 43749 112830.17798828
"94" 39 43753 68255.5221590528
"95" 39 43761 102327.687293464
"96" 39 43767 71251.9831900723
"97" 39 43775 109689.874770269
"98" 39 43786 144721.90051589
"99" 39 43790 111036.333046842
"100" 39 43800 79139.9523134911
"101" 39 43807 102298.647898047
"102" 39 43811 122026.45355721
"103" 39 43819 74892.8567686047
"104" 39 43828 86779.3727912426
"105" 39 43831 107135.964385558
"106" 39 43841 69819.9494815631
"107" 83 43102 110169.071314081
"108" 83 43108 94756.7733638299
"109" 83 43121 122082.895509098
"110" 83 43124 132707.724845475
"111" 83 43134 104983.525693695
"112" 83 43138 82968.3415277734
"113" 83 43148 94265.5100029984
"114" 83 43155 91725.2858211235
"115" 83 43160 100521.304597255
"116" 83 43170 118528.230534249
"117" 83 43175 120549.387700762
"118" 83 43184 122574.543183667
"119" 83 43189 66635.4288384016
"120" 83 43195 62024.1377833478
"121" 83 43205 132321.270758349
"122" 83 43211 152504.980081515
"123" 83 43217 72095.5148011031
"124" 83 43222 94184.6824322398
"125" 83 43228 82761.8063241389
"126" 83 43238 112704.664757743
"127" 83 43243 62932.6352915671
"128" 83 43252 109775.976722098
"129" 83 43258 100888.431223142
"130" 83 43262 98772.5218234759
"131" 83 43272 89309.8141639591
"132" 83 43278 113180.909878802
"133" 83 43289 94065.0026064838
"134" 83 43292 66268.4341477025
"135" 83 43301 106274.680027808
"136" 83 43304 70818.7500628498
"137" 83 43311 97313.3617492216
"138" 83 43324 93325.9754636105
"139" 83 43330 114417.304084849
"140" 83 43337 79589.9164223235
"141" 83 43345 105632.85821287
"142" 83 43351 83837.3078931401
"143" 83 43359 88013.7002187079
"144" 83 43362 69075.7847551467
"145" 83 43372 120240.298354129
"146" 83 43375 108580.176919588
"147" 83 43387 139428.115271053
"148" 83 43388 112439.043882619
"149" 83 43395 86368.3518304585
"150" 83 43406 103047.58665701
"151" 83 43414 77245.6976725997
"152" 83 43421 115763.594315141
"153" 83 43426 104368.537881308
"154" 83 43432 82225.8075661291
"155" 83 43439 122462.003247112
"156" 83 43448 89303.5515582082
"157" 83 43452 119187.851939347
"158" 83 43460 101500.529852879
"159" 83 43467 72889.5247529727
"160" 83 43473 95357.0812520817
"161" 83 43483 115726.096282401
"162" 83 43491 77618.3836548689
"163" 83 43495 66828.5983318919
"164" 83 43501 97589.1493986407
"165" 83 43508 123832.048410903
"166" 83 43520 109606.601302155
"167" 83 43526 124558.423289194
"168" 83 43528 165667.760304272
"169" 83 43536 91483.0339909016
"170" 83 43546 77309.4802096482
"171" 83 43550 144994.258696657
"172" 83 43558 91364.2675883663
"173" 83 43568 121961.469088009
"174" 83 43576 86665.7575425964
"175" 83 43583 74112.9821147918
"176" 83 43587 108546.834249838
"177" 83 43592 125188.75582834
"178" 83 43604 94510.2094158606
"179" 83 43610 117624.565672847
"180" 83 43617 97280.6349919994
"181" 83 43625 30956.7927927154
"182" 83 43631 99149.9926955874
"183" 83 43639 87213.4051211037
"184" 83 43644 104657.806355589
"185" 83 43653 76637.5104571165
"186" 83 43655 83569.03056931
"187" 83 43663 90510.3044905205
"188" 83 43674 93600.9907334665
"189" 83 43679 121610.623624
"190" 83 43685 99730.8273493881
"191" 83 43693 82216.2916091602
"192" 83 43696 91513.878406489
"193" 83 43707 92103.4798576375
"194" 83 43713 92309.5323053949
"195" 83 43719 93818.6626432077
"196" 83 43727 84330.623272927
"197" 83 43736 80180.6585328254
"198" 83 43738 120232.130047808
"199" 83 43750 81848.5528616654
"200" 83 43753 89504.4981124204
"201" 83 43763 105470.781191791
"202" 83 43772 78471.2277080682
"203" 83 43779 100641.762510541
"204" 83 43782 103928.438280513
"205" 83 43793 114578.227256949
"206" 83 43799 106519.307120504
"207" 83 43804 87372.2698908721
"208" 83 43809 89549.7496528085
"209" 83 43820 117239.071717789
"210" 83 43822 87462.6148297686
"211" 83 43833 88943.7377527194
"212" 83 43837 89523.1360633242
"213" 134 43102 111143.491648564
"214" 134 43109 88271.8065130894
"215" 134 43119 101911.995927892
"216" 134 43124 114974.197228047
"217" 134 43129 80891.7516281852
"218" 134 43139 113360.143220649
"219" 134 43144 92775.4752857732
"220" 134 43152 66514.1602801183
"221" 134 43159 87494.1480784248
"222" 134 43169 121531.380316929
"223" 134 43177 140229.133661278
"224" 134 43180 83204.8499432506
"225" 134 43186 117526.163780971
"226" 134 43198 91241.102359533
"227" 134 43202 104549.635571728
"228" 134 43209 46509.3095139049
"229" 134 43217 129202.158238247
"230" 134 43223 128824.158426685
"231" 134 43227 79380.2783093716
"232" 134 43238 110036.195940134
"233" 134 43244 94608.2653778586
"234" 134 43248 102385.134129485
"235" 134 43256 80204.6411034191
"236" 134 43267 133230.000793144
"237" 134 43275 132792.090157756
"238" 134 43277 66070.5238640958
"239" 134 43283 97763.6037593236
"240" 134 43295 99834.5383182802
