"№.ТТ" "БЛК" "КДЦ_OLD.(НЕ.ИСПОЛЬЗОВАТЬ)" "МЕСТОПОЛОЖЕНИЕ" "X5" "X6" "X7" "ВРЕМЯ.РАБОТЫ" "X9"
"1" NA NA NA "ГОРОД" "РЕГИОН" "ШИР." "ДОЛ." "ДАТА ОТКР." "ДАТА ЗАКР."
"2" "1" 100 "-" "Тольятти" "Волга" "49.368350509158297" "53.568495752027999" "37047" NA
"3" "2" 100 "-" "Нижний Новгород" "Волга" "43.8591643145866" "56.193736000152697" "37084" NA
"4" "3" 100 "-" "Волгоград" "Волга" "44.5580604214503" "48.697619234138301" "37107" NA
"5" "4" 100 "-" "Волгоград" "Волга" "44.559232785394698" "48.712574648224802" "37119" NA
"6" "5" 100 "-" "Ижевск" "Урал" "53.269389010323003" "56.8293653793679" "37157" NA
"7" "6" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.340685169386301" "60.056285050373603" "37204" NA
"8" "7" 100 "-" "Оренбург" "Сибирь" "55.064620725357102" "51.823982310749003" "37246" "38974"
"9" "8" 100 "-" "Москва" "Москва" "37.708773492920699" "55.701982118797197" "37260" NA
"10" "9" 100 "-" "Челябинск" "Урал" "61.407889543602003" "55.070670614197397" "37263" NA
"11" "10" 100 "-" "Махачкала" "Юг" "47.588174900243899" "42.869791878033297" "37268" NA
"12" "11" 100 "-" "Москва" "Москва" "37.646313572341199" "55.820455900838297" "37301" NA
"13" "12" 100 "-" "Москва" "Москва" "37.678546050648698" "55.8504426613707" "37308" NA
"14" "13" 100 "-" "Хабаровск" "Дальний Восток" "134.93131689574" "48.359400659332998" "37310" NA
"15" "14" 100 "-" "Омск" "Сибирь" "73.359453037524403" "54.913311456370103" "37325" NA
"16" "15" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.232471164210398" "59.937408322726498" "37358" NA
"17" "16" 100 "-" "Красноярск" "Сибирь" "92.977403140249393" "55.9636310933153" "37371" NA
"18" "17" 100 "-" "Саратов" "Волга" "46.052864211454697" "51.452143817043698" "37378" NA
"19" "18" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.1936205631463" "59.826089681291101" "37399" NA
"20" "19" 100 "-" "Москва" "Москва" "37.542699015132698" "55.672579053675399" "37423" NA
"21" "20" 100 "-" "Нижний Новгород" "Волга" "44.052650525104198" "56.397160095422002" "37436" NA
"22" "21" 100 "-" "Тюмень" "Сибирь" "65.444161092622906" "57.1593729107231" "37446" NA
"23" "22" 100 "-" "Москва" "Москва" "37.588387098947102" "55.7513423943684" "37458" NA
"24" "23" 100 "-" "Москва" "Москва" "37.766243540045402" "55.823040599471597" "37497" NA
"25" "24" 100 "-" "Москва" "Москва" "37.634276792608702" "55.751056641668697" "37536" NA
"26" "25" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.260326825931301" "59.976225378086902" "37575" NA
"27" "26" 100 "-" "Самара" "Волга" "49.966149192459199" "53.069811428012898" "37592" "38270"
"28" "27" 100 "-" "Ростов-на-Дону" "Юг" "39.578388299989001" "47.323080293759197" "37612" NA
"29" "28" 100 "-" "Пермь" "Урал" "56.316987860824597" "58.0950130081699" "37647" NA
"30" "29" 100 "-" "Воронеж" "Центр" "39.179903243398698" "51.619095066328597" "37652" NA
"31" "30" 100 "-" "Барнаул" "Сибирь" "83.867405787502406" "53.369634233732903" "37672" NA
"32" "31" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.2222562767674" "59.9628908316392" "37708" NA
"33" "32" 100 "-" "Саратов" "Волга" "45.993950348470101" "51.5573594631839" "37749" NA
"34" "33" 100 "-" "Ульяновск" "Волга" "48.2229703221427" "54.1690991656221" "37786" NA
"35" "34" 100 "-" "Краснодар" "Юг" "38.964338857902199" "45.073832074591898" "37791" NA
"36" "35" 100 "-" "Воронеж" "Центр" "39.2552918664976" "51.7186514167106" "37797" NA
"37" "36" 100 "-" "Тюмень" "Сибирь" "65.669603437364799" "57.064628313184699" "37830" NA
"38" "37" 100 "-" "Пермь" "Урал" "56.164673071766899" "58.056234313078299" "37856" NA
"39" "38" 100 "-" "Москва" "Москва" "37.667415163541698" "55.691134060572502" "37860" "38648"
"40" "39" 100 "-" "Новосибирск" "Сибирь" "82.882428230848504" "55.006386067179903" "37861" NA
"41" "40" 100 "-" "Барнаул" "Сибирь" "83.768507413306295" "53.276051570746297" "37907" NA
"42" "41" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.459631106058701" "60.067501483812997" "37953" NA
"43" "43" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.2606806045507" "59.806434218517602" "37976" NA
"44" "44" 100 "-" "Краснодар" "Юг" "39.123483942018801" "45.083409146142202" "37984" NA
"45" "46" 100 "-" "Казань" "Волга" "49.241635718846901" "55.657506859877998" "37988" NA
"46" "47" 100 "-" "Оренбург" "Сибирь" "55.180563584680797" "51.717341792897699" "38015" NA
"47" "48" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.242575366107399" "59.914139749018602" "38033" NA
"48" "49" 100 "-" "Москва" "Москва" "37.581650672472598" "55.702778976762303" "38069" "38989"
"49" "50" 100 "-" "Ростов-на-Дону" "Юг" "39.723929105149999" "47.131924672256602" "38110" NA
"50" "51" 100 "-" "Москва" "Москва" "37.585582163991901" "55.839213846533198" "38154" NA
"51" "52" 100 "-" "Барнаул" "Сибирь" "83.656663179812995" "53.206188856103601" "38185" NA
"52" "53" 100 "-" "Тольятти" "Волга" "49.357018808135699" "53.399974047479901" "38217" NA
"53" "54" 100 "-" "Москва" "Москва" "37.7492989941654" "55.721672710965002" "38228" NA
"54" "55" 100 "-" "Ижевск" "Урал" "53.301162424157198" "56.953575886185199" "38255" NA
"55" "56" 100 "-" "Ижевск" "Урал" "53.216624365826" "56.990908653526503" "38286" NA
"56" "57" 100 "-" "Самара" "Волга" "49.964254241266502" "53.307295165956603" "38317" NA
"57" "58" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.339242570648601" "60.058669752676103" "38354" NA
"58" "59" 100 "-" "Уфа" "Урал" "56.062412128489498" "54.700063329231199" "38369" NA
"59" "60" 100 "-" "Екатеринбург" "Урал" "60.704929739168001" "56.732861537576703" "38406" NA
"60" "61" 100 "-" "Иркутск" "Сибирь" "104.300997053206" "52.385014519845001" "38415" "39385"
"61" "62" 100 "-" "Москва" "Москва" "37.554929161110501" "55.602483146942802" "38449" NA
"62" "63" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.445250355672702" "59.9957451301647" "38464" NA
"63" "64" 100 "-" "Ярославль" "Волга" "39.861872669661203" "57.673837033034403" "38467" NA
"64" "65" 100 "-" "Воронеж" "Центр" "39.340363903958803" "51.799035987769301" "38506" "39116"
"65" "66" 100 "-" "Москва" "Москва" "37.4793821782959" "55.839926602507603" "38515" NA
"66" "67" 100 "-" "Казань" "Волга" "49.202282586575699" "55.8571674026716" "38516" NA
"67" "68" 100 "-" "Москва" "Москва" "37.678277577242397" "55.821849462788201" "38541" NA
"68" "69" 100 "-" "Москва" "Москва" "37.745631569266799" "55.7393235042017" "38572" NA
"69" "70" 100 "-" "Томск" "Сибирь" "84.907154380272999" "56.485900250487603" "38601" NA
"70" "71" 100 "-" "Москва" "Москва" "37.732104491271599" "55.657527272359097" "38607" "39608"
"71" "72" 100 "-" "Махачкала" "Юг" "47.640380469354703" "42.868126876740597" "38653" NA
"72" "73" 100 "-" "Екатеринбург" "Урал" "60.736033747392803" "56.8548568178173" "38668" NA
"73" "74" 100 "-" "Омск" "Сибирь" "73.3574356668897" "55.1038040674459" "38675" NA
"74" "75" 100 "-" "Москва" "Москва" "37.488108017497296" "55.833487526911902" "38677" NA
"75" "76" 100 "-" "Барнаул" "Сибирь" "83.633532292764698" "53.370662029056099" "38695" NA
"76" "77" 100 "-" "Москва" "Москва" "37.6267062607375" "55.611959595771197" "38715" NA
"77" "78" 100 "-" "Кемерово" "Сибирь" "86.090919480146596" "55.402878495536697" "38722" NA
"78" "79" 100 "-" "Красноярск" "Сибирь" "92.961340267765095" "55.891006537107302" "38750" NA
"79" "80" 100 "-" "Хабаровск" "Дальний Восток" "135.06926645308599" "48.543716096737398" "38783" NA
"80" "81" 100 "-" "Томск" "Сибирь" "85.034763293549403" "56.600583193745102" "38826" NA
"81" "82" 100 "-" "Саратов" "Волга" "46.064655145706404" "51.605745201206602" "38844" "40491"
"82" "83" 100 "-" "Новосибирск" "Сибирь" "82.996345683946601" "54.9414823696222" "38876" NA
"83" "84" 100 "-" "Нижний Новгород" "Волга" "44.007270545801099" "56.442122262346999" "38911" NA
"84" "85" 100 "-" "Ростов-на-Дону" "Юг" "39.636771386289396" "47.283516264771499" "38949" NA
"85" "86" 100 "-" "Москва" "Москва" "37.739354120862203" "55.806878310630701" "38987" NA
"86" "87" 100 "-" "Екатеринбург" "Урал" "60.699017742510101" "56.693022254851698" "38994" NA
"87" "88" 100 "-" "Москва" "Москва" "37.663788072850103" "55.829116035557902" "39025" NA
"88" "89" 100 "-" "Хабаровск" "Дальний Восток" "135.067646121889" "48.3613663470829" "39073" NA
"89" "90" 100 "-" "Москва" "Москва" "37.732327462818098" "55.781408993785902" "39087" NA
"90" "91" 100 "-" "Москва" "Москва" "37.685933019538901" "55.648932369940603" "39095" NA
"91" "92" 100 "-" "Нижний Новгород" "Волга" "43.872432663068103" "56.250539551375901" "39127" NA
"92" "93" 100 "-" "Ульяновск" "Волга" "48.313322330448202" "54.186975665559899" "39175" NA
"93" "94" 100 "-" "Саратов" "Волга" "46.153322701046001" "51.6322805716635" "39211" NA
"94" "95" 100 "-" "Екатеринбург" "Урал" "60.6434519996644" "56.706043842827903" "39248" NA
"95" "96" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.215307719620501" "59.964187163861602" "39291" NA
"96" "97" 100 "-" "Омск" "Сибирь" "73.428766696577796" "54.994593766069002" "39307" NA
"97" "98" 100 "-" "Москва" "Москва" "37.707833733005998" "55.780900981163299" "39324" NA
"98" "99" 100 "-" "Казань" "Волга" "49.130823148785403" "55.818548676900498" "39367" NA
"99" "100" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.191989574080001" "59.851560178726999" "39378" NA
"100" "101" 100 "-" "Москва" "Москва" "37.5633478141078" "55.7078458683823" "39420" NA
"101" "102" 100 "-" "Пермь" "Урал" "56.244376753380202" "57.920541493195202" "39459" NA
"102" "103" 100 "-" "Москва" "Москва" "37.674622803569399" "55.732041748871701" "39463" NA
"103" "104" 100 "-" "Москва" "Москва" "37.532318272387201" "55.769011206880798" "39497" NA
"104" "105" 100 "-" "Иркутск" "Сибирь" "104.371019224197" "52.2932860251329" "39528" NA
"105" "106" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.205263359203599" "60.016249702011301" "39546" NA
"106" "107" 100 "-" "Иркутск" "Сибирь" "104.15095192706499" "52.293843883117503" "39565" NA
"107" "108" 100 "-" "Волгоград" "Волга" "44.527845290168401" "48.566976123113299" "39579" NA
"108" "109" 100 "-" "Москва" "Москва" "37.557700618464999" "55.809148428614797" "39623" NA
"109" "110" 100 "-" "Волгоград" "Волга" "44.410067472355699" "48.714201480076703" "39631" NA
"110" "111" 100 "-" "Уфа" "Урал" "55.887478874166497" "54.611248607299501" "39632" NA
"111" "112" 100 "-" "Москва" "Москва" "37.682998073442398" "55.680788979332597" "39644" NA
"112" "113" 100 "-" "Москва" "Москва" "37.758709852366302" "55.6482077509189" "39648" NA
"113" "114" 100 "-" "Москва" "Москва" "37.548688582462802" "55.646356938898201" "39676" NA
"114" "115" 100 "-" "Ульяновск" "Волга" "48.474142095069801" "54.225753629889297" "39720" NA
"115" "116" 100 "-" "Казань" "Волга" "49.255006147872898" "55.692941553488303" "39737" NA
"116" "117" 100 "-" "Москва" "Москва" "37.587528928896901" "55.711431197219198" "39749" NA
"117" "118" 100 "-" "Москва" "Москва" "37.545416828795801" "55.710092097173998" "39756" NA
"118" "119" 100 "-" "Казань" "Волга" "49.2288042062412" "55.830710222099803" "39772" NA
"119" "120" 100 "-" "Москва" "Москва" "37.610079773088501" "55.843796702313803" "39777" NA
"120" "121" 100 "-" "Москва" "Москва" "37.598423429919897" "55.853284312694001" "39799" NA
"121" "122" 100 "-" "Москва" "Москва" "37.518951103292899" "55.678471260450401" "39812" NA
"122" "123" 100 "-" "Москва" "Москва" "37.7646422637781" "55.8477655750957" "39845" NA
"123" "124" 100 "-" "Ярославль" "Волга" "40.027465282103698" "57.5336729929355" "39861" NA
"124" "125" 100 "-" "Москва" "Москва" "37.641353627728797" "55.696634122731801" "39892" NA
"125" "126" 100 "-" "Краснодар" "Юг" "39.060608742910503" "45.090300975546199" "39914" NA
"126" "127" 100 "-" "Челябинск" "Урал" "61.313114115398101" "55.061747169742901" "39944" NA
"127" "128" 100 "-" "Москва" "Москва" "37.633027533573603" "55.752960353347099" "39946" NA
"128" "129" 100 "-" "Томск" "Сибирь" "85.092252484521794" "56.574979181951498" "39962" NA
"129" "130" 100 "-" "Москва" "Москва" "37.636364186151503" "55.714083935043398" "39981" NA
"130" "131" 100 "-" "Оренбург" "Сибирь" "55.038296568871601" "51.757303937838799" "39987" NA
"131" "132" 100 "-" "Екатеринбург" "Урал" "60.475808330975603" "56.945686246265701" "40007" NA
"132" "133" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.167960250807599" "60.072262870708599" "40042" NA
"133" "134" 100 "-" "Новосибирск" "Сибирь" "82.791403576629605" "55.048210960949703" "40075" NA
"134" "135" 100 "-" "Казань" "Волга" "49.250062580730997" "55.735364673396496" "40112" NA
"135" "136" 100 "-" "Казань" "Волга" "49.2400345983433" "55.925562203273103" "40160" NA
"136" "137" 100 "-" "Воронеж" "Центр" "39.054738296252197" "51.6412811487439" "40189" NA
"137" "138" 100 "-" "Санкт-Петербург" "Санкт-Петербург" "30.178847040759099" "60.039458508279303" "40218" NA
"138" "139" 100 "-" "Москва" "Москва" "37.515115747523097" "55.659259304430002" "40219" NA
